neck_tilt,head_spine_l,head_spine_r,spine_l,spine_r,shoulder_tilt,left_elbow,right_elbow,left_shoulder_ang,right_shoulder_ang,nose_shoulder_y,nose_hip_y,ear_shoulder_y_l,ear_shoulder_y_r,wrist_shoulder_y_l,wrist_shoulder_y_r,elbow_shoulder_y_l,elbow_shoulder_y_r,nose_center_x,ear_asymmetry_x,eye_asymmetry_x,nose_hip_x,shoulder_hip_dist,nose_shoulder_dist,wrist_hip_l,wrist_hip_r,wrist_height_diff,elbow_height_diff,hip_y_abs,knee_y_abs,ankle_y_abs,label
17.287788,97.54955,130.56107,146.83551,135.03096,80.26178,119.70706,132.66562,7.3740563,86.97252,-0.4051191806793213,-1.4989925622940063,-0.43976372480392456,-0.27332910895347595,0.6117170453071594,-0.46416959166526794,0.611380398273468,-0.035618316382169724,-0.705685019493103,0.6024635434150696,0.2243930548429489,-0.25683891773223877,117.25977325439453,80.69713592529297,86.46659851074219,186.90237426757812,1.293543815612793,0.8646558523178101,1.093873381614685,1.426337718963623,1.5817290544509888,3
17.368923,100.80612,125.569664,168.83434,156.2619,83.43718,111.41808,132.50932,8.639406,87.20437,-0.3704851567745209,-1.559975504875183,-0.44487637281417847,-0.29084035754203796,0.5847951173782349,-0.4129636287689209,0.6480513215065002,0.01621064357459545,-0.7039723992347717,0.5728555917739868,0.20810860395431519,-0.3414272964000702,125.58966827392578,80.34319305419922,102.49273681640625,196.9338836669922,1.178070068359375,0.812152087688446,1.1894903182983398,1.6078462600708008,1.833098292350769,3
17.332472,95.77152,133.07321,136.56624,118.3088,78.43904,119.38152,130.8489,6.3326755,85.61839,-0.4024609327316284,-1.4930992126464844,-0.43906277418136597,-0.2826226055622101,0.6161484718322754,-0.47614437341690063,0.6241998672485352,-0.030423136427998543,-0.7147769331932068,0.5899935960769653,0.21828554570674896,-0.23805055022239685,117.92326354980469,81.2681655883789,84.12047576904297,185.52574157714844,1.3010504245758057,0.8633806109428406,1.090638279914856,1.346450924873352,1.6766129732131958,3
17.519957,100.382195,128.71683,159.82845,142.56323,82.86223,116.87661,130.04312,10.830782,87.8839,-0.40678712725639343,-1.604345679283142,-0.46196237206459045,-0.2715417444705963,0.5726024508476257,-0.471077024936676,0.6316425800323486,-0.03705482557415962,-0.6969670653343201,0.6049367785453796,0.21960853040218353,-0.2637426257133484,126.14675903320312,79.93621063232422,102.22168731689453,195.71405029296875,1.2643795013427734,0.8893973231315613,1.1975585222244263,1.6039059162139893,1.811627984046936,3
16.701555,96.89475,131.44125,145.18999,131.97173,80.19319,120.080376,130.6651,7.227133,84.93269,-0.41275864839553833,-1.506400465965271,-0.4626084566116333,-0.2712968587875366,0.6097705960273743,-0.4606674015522003,0.6148557066917419,-0.020045455545186996,-0.7120771408081055,0.6051061153411865,0.22194382548332214,-0.24324771761894226,117.3267593383789,81.15552520751953,85.756591796875,184.6462860107422,1.3021410703659058,0.866604208946228,1.093641757965088,1.4073635339736938,1.6224054098129272,3
17.109495,97.76041,131.86177,146.76596,135.49123,80.65091,121.95894,132.38571,8.787378,85.68054,-0.42319902777671814,-1.5111820697784424,-0.46999847888946533,-0.27277234196662903,0.609437882900238,-0.465615838766098,0.6071146726608276,-0.024485429748892784,-0.7106954455375671,0.6072180867195129,0.2210370898246765,-0.24860073626041412,115.52520751953125,80.84038543701172,86.89241790771484,185.55816650390625,1.3112661838531494,0.8678126335144043,1.0879830121994019,1.3891808986663818,1.503631830215454,3
5.999629,87.00054,93.62372,170.47485,162.88577,81.00097,143.5706,144.06165,18.245129,29.508171,-0.10155673325061798,-1.5528342723846436,-0.38646823167800903,-0.3176337778568268,1.2807966470718384,0.9983160495758057,0.8641595244407654,0.6628819704055786,-0.5951063632965088,0.5937985181808472,0.23216338455677032,-0.26847633719444275,80.0433120727539,32.484256744384766,12.644432067871094,30.267425537109375,0.34674888849258423,0.2655458152294159,1.451277494430542,2.0208356380462646,1.9554126262664795,0
10.083521,79.40447,16.881243,134.52919,97.107506,89.488,115.34342,175.79872,15.709593,31.003166,0.0916089192032814,-1.6063753366470337,-0.44248491525650024,-0.306374192237854,1.8371485471725464,1.481552004814148,1.306969404220581,0.8632714152336121,-1.0298141241073608,0.6506161689758301,0.23528507351875305,-0.8659562468528748,74.67080688476562,45.255855560302734,16.210880279541016,35.81538391113281,0.44275331497192383,0.5308547019958496,1.697984218597412,2.162156343460083,1.934979796409607,0
1.6455619,79.64628,81.456474,167.75998,166.28145,81.29169,148.02237,142.99591,17.938969,30.355679,-0.014297135174274445,-1.4359716176986694,-0.33810150623321533,-0.292264461517334,1.324846863746643,1.0753962993621826,0.8628092408180237,0.649412214756012,-0.5707305073738098,0.6111021637916565,0.23544679582118988,-0.2740195691585541,76.6006088256836,30.112106323242188,10.138601303100586,25.373502731323242,0.3031877875328064,0.26713424921035767,1.4216744899749756,2.052654981613159,2.0413427352905273,0
12.23759,75.33505,1.6973131,134.03958,100.21394,87.572624,112.73232,177.69896,18.798294,28.940573,0.12237019091844559,-1.6210170984268188,-0.45127761363983154,-0.2582923471927643,1.8192881345748901,1.3977841138839722,1.3285720348358154,0.8181233406066895,-0.9871978163719177,0.665298581123352,0.24467989802360535,-0.7546182870864868,77.20600891113281,43.66585159301758,10.788274765014648,34.47715377807617,0.5116395950317383,0.6005842089653015,1.7433873414993286,2.2143056392669678,2.016679048538208,0
1.7986357,80.50422,80.709045,165.092,161.5462,82.30273,143.29547,145.59143,19.015427,30.508022,-0.02590543031692505,-1.4468204975128174,-0.3381059765815735,-0.2571784257888794,1.294420838356018,0.9981678128242493,0.8696847558021545,0.6467878818511963,-0.5667093396186829,0.5691285729408264,0.21634481847286224,-0.261752724647522,77.05067443847656,30.07761001586914,11.10598373413086,29.858230590820312,0.3732469081878662,0.29989078640937805,1.420915126800537,1.982563853263855,1.8959239721298218,0
10.96539,78.47532,14.153664,138.53859,104.562225,89.44071,113.33066,174.03549,15.851594,30.709082,0.11385484039783478,-1.7160481214523315,-0.4341467320919037,-0.29083919525146484,1.8646526336669922,1.4892691373825073,1.3492109775543213,0.8691624999046326,-1.028123140335083,0.6063995957374573,0.22026140987873077,-0.8614131212234497,80.07493591308594,45.07810592651367,15.089394569396973,36.593135833740234,0.4563857316970825,0.5610507130622864,1.82990300655365,2.352766275405884,2.106118679046631,0
